stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.833,-4.347,-1.008,-1.587,-1.178,-1.605,-0.542,-0.786,-0.803,5524095689.986,-0.192
norefined,2,0.351,-4.363,-1.084,-1.588,-1.261,-1.631,-0.599,-0.802,-0.814,3135099618.896,-0.080
norefined,3,-0.144,-4.363,-1.111,-1.554,-1.296,-1.659,-0.632,-0.822,-0.801,2047617518.805,0.033
norefined,4,-0.613,-4.357,-1.186,-1.424,-1.326,-1.614,-0.635,-0.769,-0.760,1796975141.211,0.141
norefined,5,-0.759,-4.341,-1.494,-1.228,-1.344,-1.457,-0.608,-0.559,-0.599,1539804996.096,0.175
norefined,6,-0.900,-4.320,-1.782,-1.003,-1.333,-1.294,-0.533,-0.365,-0.437,1273357354.418,0.208
norefined,7,-0.921,-4.314,-2.067,-0.772,-1.281,-1.108,-0.431,-0.169,-0.269,1020566727.038,0.213
norefined,8,-0.862,-4.320,-2.327,-0.542,-1.197,-0.919,-0.313,0.024,-0.088,815067826.990,0.200
norefined,9,-0.806,-4.343,-2.528,-0.270,-1.069,-0.726,-0.147,0.167,0.086,678461620.353,0.186
norefined,10,-0.690,-4.443,-2.605,0.032,-0.880,-0.533,0.065,0.145,0.190,618012241.264,0.155
refined,11,-0.690,-4.443,-2.605,0.032,-0.880,-0.533,0.065,0.145,0.190,618012241.264,0.155
refined,12,-0.963,-5.902,-3.225,0.133,-0.146,-0.248,-0.146,-0.669,0.504,533291368.071,0.163
refined,13,-1.171,-7.111,-3.734,0.221,-0.173,-0.219,-0.164,-0.621,0.351,527014842.501,0.165
refined,14,-1.367,-8.161,-4.223,0.365,-0.164,-0.249,-0.218,-0.615,0.164,523016687.857,0.167
refined,15,-1.620,-9.520,-4.879,0.522,-0.115,-0.253,-0.281,-0.630,-0.070,519567376.505,0.170
refined,16,-1.907,-11.066,-5.636,0.679,-0.041,-0.248,-0.347,-0.670,-0.324,517219339.647,0.172
refined,17,-2.142,-12.354,-6.267,0.781,0.012,-0.250,-0.391,-0.712,-0.511,516365362.587,0.173
refined,18,-2.261,-13.009,-6.579,0.815,0.035,-0.254,-0.407,-0.725,-0.602,516201970.268,0.174
refined,19,-2.306,-13.258,-6.690,0.820,0.043,-0.254,-0.410,-0.725,-0.638,516177882.797,0.174
refined,20,-2.323,-13.358,-6.733,0.820,0.046,-0.253,-0.411,-0.724,-0.651,516174210.430,0.174
