stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,39.592,1.727,0.000,0,9,3119045099.311,493649901.943,76
refined,42.475,1.727,0.000,0,9,3119045099.311,465144963.172,76
