stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,10.725,1.727,0.000,0,9,4625372448.401,1895098296.113,76
refined,11.544,1.727,0.000,0,9,4625372448.401,1813346320.644,76
