stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,11.217,2.023,0.000,76,0,9,2066393354.916,824327063.982
refined,19.398,2.023,0.000,76,0,9,2066393354.916,573083635.351
