stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,104.766,2.023,0.000,76,0,9,3223060027.090,213828623.840
refined,229.845,2.023,0.000,76,0,9,3223060027.090,101116470.638
