stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.726,-5.659,-3.783,0.585,-1.746,-0.198,1.598,-0.386,-0.603,694476495.131,0.305
norefined,2,-1.274,-5.794,-3.820,0.506,-1.717,-0.204,1.467,-0.375,-0.640,578367335.108,0.220
norefined,3,-1.526,-5.858,-3.766,0.249,-1.677,-0.248,1.151,-0.475,-0.619,573159132.771,0.260
norefined,4,-1.062,-5.964,-3.795,0.260,-1.600,-0.181,1.105,-0.375,-0.603,523110084.483,0.178
norefined,5,-1.497,-5.971,-3.713,0.136,-1.564,-0.205,0.919,-0.412,-0.598,534703516.336,0.251
norefined,6,-1.031,-6.066,-3.746,0.155,-1.492,-0.141,0.889,-0.307,-0.572,484993135.648,0.170
norefined,7,-1.487,-6.067,-3.648,0.064,-1.454,-0.157,0.742,-0.329,-0.567,506328122.062,0.245
norefined,8,-1.016,-6.154,-3.687,0.088,-1.392,-0.102,0.722,-0.228,-0.537,458034662.531,0.165
norefined,9,-1.483,-6.149,-3.583,0.016,-1.357,-0.117,0.604,-0.250,-0.535,485708090.486,0.241
norefined,10,-1.008,-6.230,-3.628,0.042,-1.306,-0.072,0.591,-0.157,-0.504,438900655.079,0.162
refined,11,-1.008,-6.230,-3.628,0.042,-1.306,-0.072,0.591,-0.157,-0.504,438900655.079,0.162
refined,12,-0.819,-4.525,-1.926,-0.140,-0.187,0.456,-0.280,-0.256,-0.038,369593122.808,0.181
refined,13,-1.075,-6.204,-2.846,-0.155,-0.418,0.253,-0.048,-0.157,-0.185,313197461.007,0.173
refined,14,-1.065,-6.142,-2.909,-0.113,-0.438,0.163,0.035,-0.095,-0.195,311356695.388,0.173
refined,15,-1.058,-6.119,-2.890,-0.121,-0.446,0.185,0.010,-0.114,-0.191,311320766.918,0.173
refined,16,-1.062,-6.136,-2.901,-0.118,-0.446,0.181,0.016,-0.110,-0.191,311318945.300,0.173
refined,17,-1.060,-6.128,-2.896,-0.119,-0.446,0.183,0.014,-0.111,-0.191,311318792.198,0.173
refined,18,-1.061,-6.132,-2.898,-0.119,-0.446,0.182,0.014,-0.111,-0.191,311318770.046,0.173
refined,19,-1.060,-6.130,-2.897,-0.119,-0.446,0.182,0.014,-0.111,-0.191,311318765.873,0.173
refined,20,-1.060,-6.131,-2.898,-0.119,-0.446,0.182,0.014,-0.111,-0.191,311318765.011,0.173
