stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,3.802,2.023,0.001,76,0,9,1632348411.074,1080520210.932
refined,21.791,2.023,0.000,76,0,9,1632348411.074,415652295.366
