stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,49.784,1.727,0.000,0,9,3571617793.445,464606524.125,76
refined,60.552,1.727,0.000,0,9,3571617793.445,391032685.559,76
