stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.751,"[-1.0, -0.503]",0.248,-6.037,0.000
norefined,c,-4.266,"[-5.558, -2.973]",1.292,-6.588,0.000
norefined,s,-2.217,"[-2.824, -1.61]",0.607,-7.287,0.000
norefined,k0,0.080,"[-0.312, 0.472]",0.392,0.407,0.685
norefined,k1,-0.318,"[-0.688, 0.053]",0.371,-1.710,0.092
norefined,k2,0.199,"[-0.27, 0.668]",0.469,0.846,0.401
norefined,k3,-0.334,"[-0.817, 0.15]",0.483,-1.378,0.173
norefined,k4,-0.013,"[-0.569, 0.542]",0.555,-0.048,0.962
norefined,k5,-0.070,"[-0.578, 0.438]",0.508,-0.275,0.784
refined,tt,-1.053,"[-1.35, -0.755]",0.298,-7.057,0.000
refined,c,-6.568,"[-8.279, -4.858]",1.710,-7.665,0.000
refined,s,-3.629,"[-4.493, -2.764]",0.864,-8.381,0.000
refined,k0,-0.100,"[-0.519, 0.319]",0.419,-0.478,0.634
refined,k1,0.127,"[-0.264, 0.518]",0.391,0.649,0.519
refined,k2,-0.404,"[-0.927, 0.119]",0.523,-1.542,0.128
refined,k3,0.419,"[-0.145, 0.984]",0.564,1.483,0.143
refined,k4,0.196,"[-0.388, 0.781]",0.584,0.671,0.504
refined,k5,-0.068,"[-0.643, 0.507]",0.575,-0.236,0.814
