stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.531,-6.773,-2.777,0.112,-1.452,-0.796,-0.636,-0.229,-0.810,3695468908.674,1584,0,0,0.078
norefined,2,-0.997,-6.782,-2.635,0.083,-1.373,-0.852,-0.658,-0.203,-0.842,3267727666.561,1584,0,0,0.147
norefined,3,-1.011,-6.871,-2.436,0.168,-0.988,-0.959,-0.491,-0.266,-0.786,3094929390.281,1584,0,0,0.147
norefined,4,-0.799,-6.921,-2.391,0.250,-0.649,-1.055,-0.300,-0.424,-0.694,3028086650.663,1584,0,0,0.115
norefined,5,-1.249,-6.915,-2.226,0.283,-0.519,-1.091,-0.277,-0.425,-0.707,3121525636.675,1584,0,0,0.181
norefined,6,-0.783,-6.948,-2.339,0.285,-0.446,-1.118,-0.201,-0.502,-0.667,2973208221.597,1584,0,0,0.113
norefined,7,-1.247,-6.935,-2.186,0.312,-0.347,-1.144,-0.184,-0.505,-0.677,3059010003.694,1584,0,0,0.180
norefined,8,-0.781,-6.965,-2.304,0.314,-0.281,-1.171,-0.111,-0.583,-0.633,2926935984.109,1584,0,0,0.112
norefined,9,-1.251,-6.948,-2.159,0.338,-0.201,-1.190,-0.098,-0.586,-0.640,3009364997.407,1584,0,0,0.180
norefined,10,-0.785,-6.977,-2.279,0.340,-0.142,-1.216,-0.028,-0.664,-0.595,2886993234.872,1584,0,0,0.112
refined,11,-0.785,-6.977,-2.279,0.340,-0.142,-1.216,-0.028,-0.664,-0.595,2886993234.872,1584,0,0,0.112
refined,12,-0.705,-4.414,-0.777,0.060,0.965,-0.440,0.419,-1.642,0.285,2662305421.647,1584,0,0,0.160
refined,13,-0.728,-5.390,-0.968,-0.059,0.704,-1.106,0.419,-1.553,0.253,2547698126.311,1584,0,0,0.135
refined,14,-0.986,-7.392,-1.436,-0.021,1.001,-1.409,0.536,-2.053,0.160,2532000477.614,1584,0,0,0.133
refined,15,-0.930,-7.034,-1.357,-0.114,1.013,-1.314,0.486,-2.048,0.165,2530953676.044,1584,0,0,0.132
refined,16,-0.987,-7.516,-1.426,-0.109,1.063,-1.369,0.522,-2.165,0.175,2530694734.991,1584,0,0,0.131
refined,17,-0.953,-7.258,-1.370,-0.145,1.045,-1.333,0.503,-2.123,0.180,2530626018.289,1584,0,0,0.131
refined,18,-0.979,-7.476,-1.408,-0.134,1.066,-1.360,0.517,-2.169,0.181,2530589189.854,1584,0,0,0.131
refined,19,-0.962,-7.340,-1.380,-0.148,1.055,-1.342,0.507,-2.144,0.182,2530575403.046,1584,0,0,0.131
refined,20,-0.974,-7.443,-1.399,-0.141,1.065,-1.355,0.514,-2.165,0.183,2530567773.527,1584,0,0,0.131
