stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.679,-6.119,-1.653,-0.404,-1.915,-0.696,1.056,0.503,-1.157,454834093.509,0.111
norefined,2,-0.671,-6.135,-1.998,-0.479,-1.596,-0.626,0.943,0.541,-1.094,331643022.673,0.109
norefined,3,-0.793,-6.131,-2.270,-0.545,-1.236,-0.523,0.855,0.583,-1.010,223089354.695,0.129
norefined,4,-0.965,-6.115,-2.500,-0.571,-0.873,-0.388,0.792,0.617,-0.903,138509140.190,0.158
norefined,5,-0.949,-6.117,-2.709,-0.599,-0.495,-0.197,0.723,0.655,-0.762,84293525.049,0.155
norefined,6,-1.201,-6.103,-2.788,-0.575,-0.167,-0.007,0.658,0.680,-0.586,60794618.377,0.197
norefined,7,-0.780,-6.149,-2.904,-0.588,0.013,0.105,0.623,0.691,-0.483,85236062.811,0.127
norefined,8,-1.264,-6.128,-2.815,-0.519,0.036,0.087,0.625,0.713,-0.454,54331969.521,0.206
norefined,9,-0.806,-6.174,-2.923,-0.547,0.152,0.163,0.603,0.713,-0.381,76757910.177,0.130
norefined,10,-1.288,-6.152,-2.826,-0.477,0.164,0.137,0.603,0.742,-0.357,50523093.775,0.209
refined,11,-1.288,-6.152,-2.826,-0.477,0.164,0.137,0.603,0.742,-0.357,50523093.775,0.209
refined,12,-1.100,-6.384,-2.950,-0.235,0.419,0.155,0.047,1.144,0.530,27738136.654,0.172
refined,13,-1.191,-6.779,-3.135,-0.266,0.384,0.120,0.173,1.090,0.419,25824820.182,0.176
refined,14,-1.284,-7.341,-3.401,-0.269,0.347,0.088,0.174,1.233,0.487,25592811.103,0.175
refined,15,-1.368,-7.830,-3.642,-0.284,0.329,0.042,0.185,1.372,0.554,25450317.787,0.175
refined,16,-1.435,-8.216,-3.831,-0.297,0.317,0.006,0.196,1.484,0.610,25376326.742,0.175
refined,17,-1.481,-8.482,-3.961,-0.308,0.311,-0.020,0.204,1.560,0.648,25344914.348,0.175
refined,18,-1.509,-8.648,-4.041,-0.315,0.307,-0.037,0.209,1.606,0.672,25333594.762,0.175
refined,19,-1.526,-8.743,-4.088,-0.319,0.305,-0.047,0.211,1.633,0.686,25329945.332,0.174
refined,20,-1.535,-8.796,-4.113,-0.321,0.304,-0.052,0.212,1.647,0.694,25328845.225,0.174
