stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,101.789,1.857,0.000,38,0,9,1646534446.886,50523093.775
refined,206.243,1.857,0.000,38,0,9,1646534446.886,25328845.225
