stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.169,-5.297,-1.024,0.013,-0.456,0.768,-0.703,-0.839,-0.082,1163055493.598,1584,0,0,-0.032
norefined,2,-0.297,-5.286,-1.117,-0.032,-0.467,0.659,-0.794,-0.873,-0.107,520416703.631,1584,0,0,0.056
norefined,3,-0.726,-5.231,-1.312,-0.060,-0.423,0.527,-0.857,-0.892,-0.139,288411196.613,1584,0,0,0.139
norefined,4,-0.653,-5.148,-1.753,-0.047,-0.323,0.362,-0.837,-0.958,-0.157,190167092.702,1584,0,0,0.127
norefined,5,-1.061,-5.045,-1.980,-0.046,-0.258,0.254,-0.771,-0.948,-0.189,236443611.857,1584,0,0,0.210
norefined,6,-0.586,-5.077,-2.124,-0.029,-0.249,0.220,-0.754,-0.976,-0.199,186427396.348,1584,0,0,0.115
norefined,7,-1.081,-5.035,-2.096,-0.035,-0.248,0.173,-0.768,-0.957,-0.196,225404850.872,1584,0,0,0.215
norefined,8,-0.602,-5.069,-2.230,-0.022,-0.240,0.145,-0.750,-0.980,-0.205,178961133.840,1584,0,0,0.119
norefined,9,-1.097,-5.032,-2.186,-0.030,-0.242,0.108,-0.765,-0.960,-0.195,218838758.066,1584,0,0,0.218
norefined,10,-0.616,-5.069,-2.313,-0.021,-0.235,0.085,-0.748,-0.981,-0.204,174372463.677,1584,0,0,0.122
refined,11,-0.616,-5.069,-2.313,-0.021,-0.235,0.085,-0.748,-0.981,-0.204,174372463.677,1584,0,0,0.122
refined,12,-1.002,-5.617,-2.870,-0.436,-0.249,0.002,-0.013,-0.299,0.172,108630840.773,1584,0,0,0.178
refined,13,-1.123,-6.589,-3.287,-0.423,-0.329,-0.106,0.019,-0.463,0.115,100552307.848,1584,0,0,0.170
refined,14,-1.161,-6.820,-3.411,-0.424,-0.356,-0.127,0.018,-0.503,0.126,100368743.224,1584,0,0,0.170
refined,15,-1.162,-6.821,-3.416,-0.418,-0.358,-0.126,0.014,-0.509,0.126,100365847.537,1584,0,0,0.170
refined,16,-1.163,-6.827,-3.420,-0.419,-0.360,-0.126,0.015,-0.510,0.127,100365783.289,1584,0,0,0.170
refined,17,-1.163,-6.825,-3.419,-0.418,-0.359,-0.126,0.015,-0.510,0.127,100365778.653,1584,0,0,0.170
refined,18,-1.163,-6.826,-3.419,-0.419,-0.360,-0.126,0.015,-0.510,0.127,100365777.916,1584,0,0,0.170
refined,19,-1.163,-6.825,-3.419,-0.418,-0.359,-0.126,0.015,-0.510,0.127,100365777.780,1584,0,0,0.170
refined,20,-1.163,-6.826,-3.419,-0.418,-0.359,-0.126,0.015,-0.510,0.127,100365777.754,1584,0,0,0.170
