stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.424,"[-0.66, -0.188]",0.236,-3.582,0.001
norefined,c,-5.176,"[-7.567, -2.785]",2.391,-4.321,0.000
norefined,s,-2.223,"[-3.136, -1.311]",0.913,-4.861,0.000
norefined,k0,0.001,"[-0.677, 0.68]",0.678,0.004,0.997
norefined,k1,-0.183,"[-1.049, 0.684]",0.866,-0.421,0.675
norefined,k2,0.086,"[-0.444, 0.616]",0.530,0.323,0.748
norefined,k3,-0.786,"[-1.597, 0.024]",0.811,-1.936,0.057
norefined,k4,-0.863,"[-1.914, 0.189]",1.051,-1.638,0.106
norefined,k5,-0.261,"[-0.782, 0.261]",0.521,-0.998,0.322
refined,tt,-0.891,"[-1.196, -0.587]",0.304,-5.845,0.000
refined,c,-6.481,"[-8.533, -4.429]",2.052,-6.305,0.000
refined,s,-2.945,"[-3.853, -2.036]",0.908,-6.470,0.000
refined,k0,-0.395,"[-0.878, 0.087]",0.483,-1.635,0.107
refined,k1,0.060,"[-0.534, 0.653]",0.594,0.200,0.842
refined,k2,-0.288,"[-0.691, 0.114]",0.403,-1.429,0.158
refined,k3,0.049,"[-0.533, 0.63]",0.582,0.167,0.868
refined,k4,0.059,"[-0.389, 0.507]",0.448,0.263,0.794
refined,k5,0.059,"[-0.262, 0.381]",0.321,0.367,0.715
