stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,25.433,1.857,0.000,38,0,9,1387661259.227,156038236.301
refined,126.780,1.857,0.000,38,0,9,1387661259.227,34394421.675
