stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,51.669,1.857,0.000,38,0,9,1301984989.541,76429219.676
refined,160.585,1.857,0.000,38,0,9,1301984989.541,25611131.669
