stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.352,-4.219,-1.170,1.807,-0.685,0.862,0.170,-1.006,-1.324,3600830575.065,1584,0,0,0.557
norefined,2,-2.032,-4.400,-1.384,1.597,-0.744,0.756,0.089,-1.066,-1.323,2757073578.132,1584,0,0,0.462
norefined,3,-1.658,-4.565,-1.558,1.408,-0.774,0.658,0.032,-1.101,-1.367,1862645837.746,1584,0,0,0.363
norefined,4,-1.246,-4.707,-1.710,1.249,-0.762,0.577,0.001,-1.102,-1.427,1196285352.147,1584,0,0,0.265
norefined,5,-0.822,-4.791,-1.896,1.102,-0.711,0.535,0.021,-1.061,-1.440,499523400.768,1584,0,0,0.171
norefined,6,-0.442,-4.858,-2.114,0.906,-0.639,0.458,0.040,-1.028,-1.390,448312155.846,1584,0,0,0.091
norefined,7,-0.923,-4.834,-2.160,0.817,-0.639,0.403,0.006,-0.993,-1.339,380622670.050,1584,0,0,0.191
norefined,8,-0.488,-4.912,-2.297,0.661,-0.581,0.329,0.008,-0.985,-1.291,363803888.197,1584,0,0,0.099
norefined,9,-0.977,-4.890,-2.293,0.602,-0.589,0.291,-0.025,-0.951,-1.239,321286790.099,1584,0,0,0.200
norefined,10,-0.526,-4.970,-2.399,0.464,-0.535,0.221,-0.024,-0.948,-1.196,317039038.475,1584,0,0,0.106
refined,11,-0.526,-4.970,-2.399,0.464,-0.535,0.221,-0.024,-0.948,-1.196,317039038.475,1584,0,0,0.106
refined,12,-0.927,-5.449,-2.461,0.244,-0.102,-0.296,-0.046,0.102,-0.344,149280528.948,1584,0,0,0.170
refined,13,-1.154,-7.190,-3.296,0.372,-0.289,-0.376,-0.144,0.111,-0.512,138407195.853,1584,0,0,0.160
refined,14,-1.185,-7.477,-3.468,0.467,-0.267,-0.469,-0.228,0.173,-0.553,137816979.467,1584,0,0,0.158
refined,15,-1.210,-7.667,-3.556,0.502,-0.272,-0.494,-0.241,0.195,-0.566,137785500.562,1584,0,0,0.158
refined,16,-1.214,-7.694,-3.570,0.510,-0.269,-0.500,-0.244,0.198,-0.567,137783579.034,1584,0,0,0.158
refined,17,-1.216,-7.707,-3.575,0.512,-0.269,-0.502,-0.245,0.199,-0.568,137783462.309,1584,0,0,0.158
refined,18,-1.216,-7.708,-3.576,0.512,-0.269,-0.502,-0.245,0.199,-0.568,137783454.571,1584,0,0,0.158
refined,19,-1.216,-7.709,-3.576,0.512,-0.269,-0.502,-0.245,0.199,-0.569,137783453.974,1584,0,0,0.158
refined,20,-1.216,-7.709,-3.576,0.512,-0.269,-0.502,-0.245,0.199,-0.569,137783453.916,1584,0,0,0.158
