stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.259,"[-2.16, -0.359]",0.900,-2.792,0.007
norefined,c,-7.720,"[-13.319, -2.121]",5.599,-2.752,0.008
norefined,s,-4.195,"[-7.274, -1.116]",3.079,-2.719,0.008
norefined,k0,-0.782,"[-2.092, 0.529]",1.311,-1.191,0.238
norefined,k1,0.809,"[-1.079, 2.697]",1.888,0.856,0.395
norefined,k2,-0.367,"[-1.476, 0.741]",1.108,-0.661,0.511
norefined,k3,0.516,"[-0.573, 1.605]",1.089,0.945,0.348
norefined,k4,-0.822,"[-1.967, 0.322]",1.144,-1.435,0.156
norefined,k5,0.335,"[-0.703, 1.373]",1.038,0.644,0.522
refined,tt,-1.179,"[-1.74, -0.619]",0.561,-4.198,0.000
refined,c,-6.197,"[-9.055, -3.338]",2.858,-4.327,0.000
refined,s,-3.310,"[-4.889, -1.732]",1.578,-4.186,0.000
refined,k0,-0.040,"[-1.057, 0.977]",1.017,-0.078,0.938
refined,k1,-0.312,"[-1.718, 1.095]",1.407,-0.443,0.659
refined,k2,-0.096,"[-1.053, 0.861]",0.957,-0.200,0.842
refined,k3,-0.266,"[-1.123, 0.591]",0.857,-0.619,0.538
refined,k4,-0.179,"[-0.967, 0.609]",0.788,-0.453,0.652
refined,k5,-0.148,"[-0.866, 0.569]",0.718,-0.412,0.681
