stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,106.020,2.023,0.000,0,9,3252261637.331,213382283.338,76
refined,225.594,2.023,0.000,0,9,3252261637.331,103893884.663,76
