stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.768,-5.030,-3.828,-0.744,0.344,-0.674,-0.807,1.366,-1.865,137336662.419,0.153
norefined,2,-1.226,-5.085,-3.697,-0.691,0.351,-0.631,-0.759,1.253,-1.855,62897228.987,0.241
norefined,3,-1.530,-5.235,-3.520,-0.491,0.326,-0.607,-0.716,1.008,-1.890,53996435.307,0.292
norefined,4,-1.089,-5.352,-3.566,-0.373,0.274,-0.562,-0.798,0.893,-1.923,43018284.392,0.203
norefined,5,-1.479,-5.449,-3.411,-0.227,0.253,-0.518,-0.746,0.697,-1.925,41622489.948,0.271
norefined,6,-1.017,-5.508,-3.524,-0.145,0.204,-0.447,-0.816,0.655,-1.930,33837101.949,0.185
norefined,7,-1.447,-5.570,-3.396,-0.037,0.193,-0.384,-0.758,0.496,-1.911,35335436.812,0.260
norefined,8,-0.981,-5.608,-3.522,0.031,0.145,-0.314,-0.814,0.485,-1.909,28373440.853,0.175
norefined,9,-1.425,-5.658,-3.398,0.113,0.141,-0.247,-0.753,0.348,-1.884,31282482.033,0.252
norefined,10,-0.955,-5.688,-3.524,0.173,0.091,-0.187,-0.799,0.353,-1.882,24800409.514,0.168
refined,11,-0.955,-5.688,-3.524,0.173,0.091,-0.187,-0.799,0.353,-1.882,24800409.514,0.168
refined,12,-0.713,-4.250,-2.260,0.472,-0.301,0.443,-0.017,-0.211,-0.581,14532319.418,0.168
refined,13,-0.874,-4.761,-2.503,0.235,-1.562,0.196,-0.633,-0.490,-0.496,12723148.110,0.184
refined,14,-0.734,-3.767,-1.878,0.284,-1.516,0.387,-0.712,-0.573,-0.249,12224192.401,0.195
refined,15,-0.792,-3.966,-1.911,0.280,-2.258,0.306,-1.153,-0.710,-0.066,12039602.301,0.200
refined,16,-0.761,-3.732,-1.771,0.302,-2.181,0.380,-1.079,-0.697,0.018,11970219.238,0.204
refined,17,-0.778,-3.796,-1.782,0.315,-2.393,0.361,-1.212,-0.734,0.087,11956435.907,0.205
refined,18,-0.773,-3.754,-1.761,0.313,-2.363,0.375,-1.181,-0.729,0.098,11953277.616,0.206
refined,19,-0.777,-3.771,-1.764,0.317,-2.410,0.372,-1.210,-0.737,0.112,11952661.520,0.206
refined,20,-0.776,-3.766,-1.762,0.317,-2.405,0.375,-1.203,-0.736,0.114,11952530.887,0.206
