stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.943,"[-1.47, -0.416]",0.527,-3.002,0.004
norefined,c,-6.308,"[-9.71, -2.907]",3.401,-3.111,0.003
norefined,s,-3.472,"[-5.198, -1.745]",1.726,-3.373,0.001
norefined,k0,-0.158,"[-1.352, 1.036]",1.194,-0.222,0.825
norefined,k1,-0.165,"[-1.281, 0.952]",1.116,-0.247,0.806
norefined,k2,0.573,"[-0.516, 1.662]",1.089,0.882,0.382
norefined,k3,-0.934,"[-1.761, -0.108]",0.827,-1.896,0.064
norefined,k4,0.812,"[-0.477, 2.102]",1.289,1.057,0.296
norefined,k5,-0.426,"[-1.424, 0.572]",0.998,-0.716,0.477
refined,tt,-0.804,"[-1.098, -0.511]",0.293,-4.603,0.000
refined,c,-5.615,"[-7.515, -3.715]",1.900,-4.956,0.000
refined,s,-2.388,"[-3.138, -1.638]",0.750,-5.340,0.000
refined,k0,-0.264,"[-0.846, 0.319]",0.583,-0.759,0.451
refined,k1,-0.167,"[-0.745, 0.412]",0.578,-0.483,0.631
refined,k2,0.481,"[-0.081, 1.043]",0.562,1.435,0.158
refined,k3,-0.046,"[-0.467, 0.375]",0.421,-0.183,0.856
refined,k4,-0.543,"[-1.246, 0.159]",0.703,-1.297,0.201
refined,k5,-0.497,"[-1.021, 0.028]",0.524,-1.588,0.119
