stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,65.288,2.023,0.000,0,9,4247397866.678,434734633.635,76
refined,83.958,2.023,0.000,0,9,4247397866.678,345936813.195,76
