stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,118.493,2.023,0.000,0,9,3371937152.141,199322882.637,76
refined,228.275,2.023,0.000,0,9,3371937152.141,106491727.840,76
