stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,35.598,2.023,0.000,0,9,2243010125.439,387940624.869,76
refined,85.168,2.023,0.000,0,9,2243010125.439,180298871.221,76
