stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.465,"[-1.087, 0.157]",0.622,-1.493,0.140
norefined,c,-4.924,"[-11.037, 1.19]",6.114,-1.607,0.113
norefined,s,-2.483,"[-5.949, 0.983]",3.466,-1.430,0.157
norefined,k0,-1.282,"[-4.471, 1.907]",3.189,-0.802,0.425
norefined,k1,-1.108,"[-3.293, 1.077]",2.185,-1.012,0.315
norefined,k2,0.491,"[-1.901, 2.884]",2.392,0.410,0.683
norefined,k3,-1.363,"[-4.493, 1.766]",3.130,-0.869,0.388
norefined,k4,0.369,"[-1.508, 2.245]",1.876,0.392,0.696
norefined,k5,1.296,"[-1.69, 4.283]",2.987,0.866,0.389
refined,tt,-0.465,"[-1.087, 0.157]",0.622,-1.493,0.140
refined,c,-4.924,"[-11.037, 1.19]",6.114,-1.607,0.113
refined,s,-2.483,"[-5.949, 0.983]",3.466,-1.430,0.157
refined,k0,-1.282,"[-4.471, 1.907]",3.189,-0.802,0.425
refined,k1,-1.108,"[-3.293, 1.077]",2.185,-1.012,0.315
refined,k2,0.491,"[-1.901, 2.884]",2.392,0.410,0.683
refined,k3,-1.363,"[-4.493, 1.766]",3.130,-0.869,0.388
refined,k4,0.369,"[-1.508, 2.245]",1.876,0.392,0.696
refined,k5,1.296,"[-1.69, 4.283]",2.987,0.866,0.389
