stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.901,"[-1.31, -0.492]",0.409,-3.697,0.001
norefined,c,-6.129,"[-9.156, -3.103]",3.026,-3.397,0.001
norefined,s,-4.224,"[-6.365, -2.082]",2.142,-3.307,0.002
norefined,k0,-0.434,"[-1.068, 0.2]",0.634,-1.147,0.257
norefined,k1,0.793,"[0.232, 1.353]",0.561,2.371,0.022
norefined,k2,-0.213,"[-0.989, 0.563]",0.776,-0.460,0.648
norefined,k3,-1.020,"[-1.683, -0.358]",0.663,-2.582,0.013
norefined,k4,-0.644,"[-1.309, 0.021]",0.665,-1.625,0.111
norefined,k5,0.342,"[-0.421, 1.105]",0.763,0.752,0.456
refined,tt,-0.918,"[-1.201, -0.634]",0.284,-5.423,0.000
refined,c,-5.433,"[-7.208, -3.658]",1.775,-5.134,0.000
refined,s,-2.938,"[-4.047, -1.828]",1.110,-4.440,0.000
refined,k0,0.085,"[-0.331, 0.501]",0.416,0.342,0.734
refined,k1,0.326,"[-0.005, 0.658]",0.332,1.649,0.106
refined,k2,-0.282,"[-0.821, 0.256]",0.539,-0.879,0.384
refined,k3,0.134,"[-0.265, 0.534]",0.399,0.565,0.575
refined,k4,-0.021,"[-0.456, 0.414]",0.435,-0.080,0.937
refined,k5,0.185,"[-0.274, 0.644]",0.459,0.677,0.502
