stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.523,"[-0.989, -0.058]",0.465,-1.876,0.065
norefined,c,-5.725,"[-10.319, -1.131]",4.594,-2.079,0.041
norefined,s,-1.640,"[-3.096, -0.185]",1.455,-1.880,0.064
norefined,k0,-1.301,"[-2.865, 0.263]",1.564,-1.387,0.170
norefined,k1,0.713,"[-0.523, 1.949]",1.236,0.962,0.339
norefined,k2,0.693,"[-0.713, 2.1]",1.407,0.822,0.414
norefined,k3,-1.632,"[-3.591, 0.328]",1.959,-1.389,0.169
norefined,k4,-0.764,"[-2.388, 0.86]",1.624,-0.785,0.435
norefined,k5,-0.375,"[-1.768, 1.018]",1.393,-0.449,0.655
refined,tt,-0.485,"[-0.762, -0.209]",0.277,-2.925,0.005
refined,c,-3.200,"[-4.917, -1.484]",1.717,-3.109,0.003
refined,s,-1.402,"[-2.245, -0.559]",0.843,-2.773,0.007
refined,k0,-0.333,"[-0.916, 0.249]",0.582,-0.955,0.343
refined,k1,0.173,"[-0.54, 0.887]",0.713,0.405,0.686
refined,k2,0.233,"[-0.33, 0.796]",0.563,0.691,0.492
refined,k3,-0.542,"[-1.226, 0.142]",0.684,-1.322,0.191
refined,k4,-0.263,"[-1.13, 0.603]",0.866,-0.507,0.614
refined,k5,-0.216,"[-0.926, 0.494]",0.710,-0.507,0.614
