stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.924,"[-1.484, -0.365]",0.560,-3.297,0.002
norefined,c,-4.509,"[-7.307, -1.71]",2.799,-3.216,0.002
norefined,s,-2.755,"[-4.321, -1.189]",1.566,-3.512,0.001
norefined,k0,-0.698,"[-1.707, 0.312]",1.009,-1.380,0.172
norefined,k1,-0.199,"[-1.026, 0.628]",0.827,-0.480,0.633
norefined,k2,-1.711,"[-3.107, -0.315]",1.396,-2.446,0.017
norefined,k3,0.781,"[-0.035, 1.597]",0.816,1.911,0.060
norefined,k4,0.874,"[-0.423, 2.17]",1.297,1.345,0.183
norefined,k5,-1.077,"[-1.982, -0.173]",0.905,-2.377,0.020
refined,tt,-1.347,"[-1.952, -0.742]",0.605,-4.443,0.000
refined,c,-6.802,"[-9.687, -3.916]",2.886,-4.705,0.000
refined,s,-3.817,"[-5.326, -2.308]",1.509,-5.048,0.000
refined,k0,-0.050,"[-0.577, 0.477]",0.527,-0.188,0.851
refined,k1,0.019,"[-0.511, 0.548]",0.530,0.070,0.944
refined,k2,-0.191,"[-0.837, 0.454]",0.645,-0.592,0.556
refined,k3,0.220,"[-0.375, 0.815]",0.595,0.737,0.464
refined,k4,-0.605,"[-1.663, 0.453]",1.058,-1.141,0.258
refined,k5,-0.268,"[-0.913, 0.376]",0.645,-0.831,0.409
