stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,55.546,2.023,0.000,0,9,2714234439.483,320777128.874,76
refined,296.727,2.023,0.000,0,9,2714234439.483,66429488.394,76
