stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.588,"[-1.013, -0.163]",0.425,-2.310,0.024
norefined,c,-6.063,"[-10.342, -1.785]",4.278,-2.364,0.021
norefined,s,-2.748,"[-4.503, -0.993]",1.755,-2.612,0.011
norefined,k0,-0.954,"[-2.266, 0.358]",1.312,-1.213,0.229
norefined,k1,-0.637,"[-1.749, 0.475]",1.112,-0.956,0.343
norefined,k2,0.772,"[-0.683, 2.227]",1.455,0.885,0.379
norefined,k3,0.382,"[-0.76, 1.524]",1.142,0.558,0.579
norefined,k4,0.382,"[-0.792, 1.556]",1.174,0.542,0.589
norefined,k5,-0.050,"[-1.17, 1.071]",1.120,-0.074,0.941
refined,tt,-0.646,"[-1.039, -0.253]",0.393,-2.740,0.008
refined,c,-3.871,"[-6.249, -1.494]",2.378,-2.716,0.008
refined,s,-1.973,"[-2.912, -1.033]",0.940,-3.501,0.001
refined,k0,-0.151,"[-0.907, 0.605]",0.756,-0.333,0.740
refined,k1,-0.546,"[-1.294, 0.202]",0.748,-1.217,0.228
refined,k2,-0.100,"[-1.064, 0.864]",0.964,-0.173,0.863
refined,k3,-0.018,"[-0.846, 0.81]",0.828,-0.036,0.971
refined,k4,-0.106,"[-0.869, 0.657]",0.763,-0.232,0.817
refined,k5,0.305,"[-0.532, 1.143]",0.837,0.608,0.545
