stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,39.377,1.727,0.000,0,9,3599359860.921,572282730.818,76
refined,47.161,1.727,0.000,0,9,3599359860.921,490706179.016,76
