stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.749,"[-1.179, -0.319]",0.430,-3.475,0.001
norefined,c,-5.284,"[-7.619, -2.949]",2.335,-4.516,0.000
norefined,s,-3.189,"[-4.712, -1.667]",1.522,-4.181,0.000
norefined,k0,0.835,"[-0.052, 1.722]",0.887,1.879,0.065
norefined,k1,-0.113,"[-0.742, 0.516]",0.629,-0.359,0.721
norefined,k2,-0.380,"[-0.861, 0.1]",0.480,-1.580,0.119
norefined,k3,0.282,"[-0.499, 1.062]",0.780,0.721,0.474
norefined,k4,-0.238,"[-0.71, 0.235]",0.473,-1.004,0.319
norefined,k5,0.003,"[-0.449, 0.455]",0.452,0.013,0.990
refined,tt,-1.100,"[-1.502, -0.699]",0.401,-5.470,0.000
refined,c,-6.243,"[-8.341, -4.145]",2.098,-5.940,0.000
refined,s,-3.133,"[-4.289, -1.978]",1.155,-5.413,0.000
refined,k0,-0.295,"[-0.89, 0.299]",0.595,-0.991,0.325
refined,k1,0.183,"[-0.355, 0.721]",0.538,0.679,0.499
refined,k2,0.203,"[-0.149, 0.555]",0.352,1.152,0.253
refined,k3,0.031,"[-0.504, 0.565]",0.534,0.115,0.909
refined,k4,0.422,"[0.048, 0.795]",0.373,2.255,0.027
refined,k5,-0.054,"[-0.384, 0.277]",0.330,-0.324,0.747
