stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.722,"[-1.131, -0.314]",0.409,-3.529,0.001
norefined,c,-5.340,"[-7.668, -3.013]",2.327,-4.580,0.000
norefined,s,-3.217,"[-4.785, -1.649]",1.568,-4.094,0.000
norefined,k0,1.228,"[0.252, 2.204]",0.976,2.511,0.014
norefined,k1,-0.096,"[-0.654, 0.463]",0.559,-0.342,0.733
norefined,k2,-0.315,"[-0.761, 0.132]",0.446,-1.407,0.164
norefined,k3,0.336,"[-0.411, 1.084]",0.748,0.898,0.372
norefined,k4,-0.391,"[-0.84, 0.059]",0.449,-1.736,0.087
norefined,k5,-0.136,"[-0.542, 0.27]",0.406,-0.667,0.507
refined,tt,-1.193,"[-1.65, -0.735]",0.457,-5.205,0.000
refined,c,-7.222,"[-9.791, -4.654]",2.568,-5.613,0.000
refined,s,-3.913,"[-5.439, -2.388]",1.525,-5.121,0.000
refined,k0,0.908,"[0.197, 1.618]",0.710,2.551,0.013
refined,k1,0.115,"[-0.434, 0.664]",0.549,0.418,0.677
refined,k2,0.148,"[-0.225, 0.52]",0.372,0.791,0.432
refined,k3,0.105,"[-0.564, 0.775]",0.670,0.314,0.755
refined,k4,0.082,"[-0.29, 0.454]",0.372,0.439,0.662
refined,k5,-0.016,"[-0.406, 0.374]",0.390,-0.081,0.936
