stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.855,"[-1.602, -0.108]",0.747,-2.286,0.025
norefined,c,-6.960,"[-12.095, -1.826]",5.134,-2.706,0.009
norefined,s,-2.837,"[-5.165, -0.509]",2.328,-2.432,0.018
norefined,k0,-1.000,"[-3.059, 1.059]",2.059,-0.970,0.336
norefined,k1,0.211,"[-0.72, 1.142]",0.931,0.453,0.652
norefined,k2,-1.094,"[-2.917, 0.73]",1.824,-1.197,0.235
norefined,k3,-0.503,"[-2.118, 1.111]",1.614,-0.622,0.536
norefined,k4,-1.417,"[-2.814, -0.019]",1.398,-2.023,0.047
norefined,k5,-0.679,"[-2.219, 0.862]",1.541,-0.879,0.382
refined,tt,-1.268,"[-2.358, -0.177]",1.090,-2.321,0.023
refined,c,-6.511,"[-11.455, -1.567]",4.944,-2.628,0.011
refined,s,-3.055,"[-5.531, -0.579]",2.476,-2.463,0.016
refined,k0,-0.460,"[-2.127, 1.207]",1.667,-0.551,0.584
refined,k1,-0.819,"[-1.831, 0.193]",1.012,-1.615,0.111
refined,k2,-0.313,"[-1.301, 0.675]",0.988,-0.633,0.529
refined,k3,-0.375,"[-1.253, 0.502]",0.877,-0.854,0.396
refined,k4,-0.231,"[-1.037, 0.575]",0.806,-0.572,0.569
refined,k5,-0.347,"[-1.468, 0.773]",1.120,-0.619,0.538
