stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.869,-4.162,-4.044,1.755,-0.032,-0.990,0.343,-1.515,-0.829,1588390164.835,0.449
norefined,2,-1.487,-4.399,-3.964,1.717,-0.155,-1.054,0.209,-1.475,-0.792,1481404883.902,0.338
norefined,3,-1.387,-4.684,-3.677,1.678,-0.204,-1.068,0.114,-1.300,-0.612,1405618932.953,0.296
norefined,4,-1.347,-4.911,-3.400,1.588,-0.228,-1.073,0.052,-1.051,-0.401,1309103603.947,0.274
norefined,5,-1.224,-5.105,-3.179,1.448,-0.263,-1.077,-0.002,-0.778,-0.175,1180561123.221,0.240
norefined,6,-1.042,-5.278,-2.989,1.270,-0.282,-1.067,-0.014,-0.519,0.052,1034378264.611,0.197
norefined,7,-0.803,-5.422,-2.841,1.055,-0.267,-1.041,0.024,-0.294,0.277,931984230.263,0.148
norefined,8,-1.134,-5.459,-2.720,0.866,-0.235,-0.939,0.137,-0.118,0.459,943683058.166,0.208
norefined,9,-0.647,-5.493,-2.799,0.826,-0.184,-0.920,0.131,-0.134,0.486,919101638.808,0.118
norefined,10,-1.121,-5.472,-2.730,0.770,-0.176,-0.850,0.206,-0.076,0.541,934221575.933,0.205
refined,11,-0.647,-5.493,-2.799,0.826,-0.184,-0.920,0.131,-0.134,0.486,919101638.808,0.118
refined,12,-0.418,-2.392,-1.250,0.032,0.081,-0.096,0.250,-0.115,0.500,790682790.363,0.175
refined,13,-0.092,-0.939,-0.345,0.324,-0.063,0.117,0.260,0.066,0.167,630309179.655,0.098
refined,14,-0.146,-0.946,-0.462,0.245,0.081,0.110,0.101,0.141,0.241,486830290.542,0.154
refined,15,-0.155,-0.990,-0.486,0.245,0.110,0.112,0.098,0.143,0.252,484420161.761,0.156
refined,16,-0.156,-0.996,-0.489,0.244,0.111,0.112,0.100,0.142,0.254,484393723.940,0.156
refined,17,-0.156,-0.996,-0.489,0.244,0.111,0.111,0.100,0.141,0.254,484393372.628,0.156
refined,18,-0.156,-0.996,-0.489,0.244,0.111,0.111,0.100,0.141,0.254,484393366.784,0.156
refined,19,-0.156,-0.996,-0.489,0.244,0.111,0.111,0.100,0.141,0.254,484393366.681,0.156
refined,20,-0.156,-0.996,-0.489,0.244,0.111,0.111,0.100,0.141,0.254,484393366.680,0.156
