stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.859,-7.794,-2.927,0.035,0.638,1.111,0.523,1.665,0.451,664058684.746,0.239
norefined,2,-1.425,-7.882,-3.055,-0.011,0.544,0.999,0.446,1.572,0.445,344652562.302,0.181
norefined,3,-0.984,-7.934,-3.196,-0.043,0.485,0.893,0.401,1.462,0.394,296838787.242,0.124
norefined,4,-1.463,-7.886,-3.215,-0.060,0.456,0.832,0.307,1.398,0.403,295209356.035,0.186
norefined,5,-1.001,-7.937,-3.333,-0.080,0.413,0.745,0.296,1.311,0.359,248711625.289,0.126
norefined,6,-1.486,-7.884,-3.344,-0.088,0.395,0.698,0.217,1.257,0.374,264347675.698,0.188
norefined,7,-1.015,-7.935,-3.445,-0.106,0.353,0.623,0.230,1.182,0.334,218438519.715,0.128
norefined,8,-1.503,-7.880,-3.446,-0.107,0.346,0.588,0.162,1.139,0.351,243972528.698,0.191
norefined,9,-1.028,-7.932,-3.537,-0.125,0.300,0.522,0.189,1.070,0.315,197968336.911,0.130
norefined,10,-1.519,-7.876,-3.530,-0.119,0.301,0.497,0.128,1.038,0.332,229601221.494,0.193
refined,11,-1.028,-7.932,-3.537,-0.125,0.300,0.522,0.189,1.070,0.315,197968336.911,0.130
refined,12,-1.033,-5.738,-2.866,0.436,-0.174,0.026,0.184,-0.427,-0.015,88871460.957,0.180
refined,13,-1.070,-6.368,-2.993,0.420,-0.185,0.106,0.153,-0.432,0.120,83636093.081,0.168
refined,14,-1.107,-6.593,-3.107,0.403,-0.162,0.157,0.171,-0.408,0.115,83420748.348,0.168
refined,15,-1.123,-6.713,-3.157,0.402,-0.166,0.183,0.156,-0.437,0.109,83380489.284,0.167
refined,16,-1.132,-6.773,-3.185,0.399,-0.167,0.198,0.153,-0.448,0.103,83369648.746,0.167
refined,17,-1.137,-6.807,-3.200,0.398,-0.168,0.206,0.150,-0.456,0.100,83366603.011,0.167
refined,18,-1.140,-6.824,-3.208,0.397,-0.168,0.211,0.148,-0.460,0.098,83365746.769,0.167
refined,19,-1.141,-6.834,-3.212,0.397,-0.169,0.213,0.147,-0.462,0.097,83365507.009,0.167
refined,20,-1.142,-6.839,-3.214,0.397,-0.169,0.214,0.147,-0.463,0.096,83365440.046,0.167
