stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,104.901,2.023,0.000,76,0,9,2990460168.427,198159742.831
refined,244.100,2.023,0.000,76,0,9,2990460168.427,88502606.885
