stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,39.469,1.857,0.000,0,9,1512227827.743,114140026.461,38
refined,176.747,1.857,0.000,0,9,1512227827.743,27075422.203,38
