attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.482,"[-1.97, -0.993]",0.488,-5.055,0.000,54.662,ngd,75,144606512.637,0.122,-1.000,-0.482,0,0,fn
c,-6.626,"[-8.613, -4.639]",1.987,-5.555,0.000,54.662,ngd,75,144606512.637,0.122,-6.000,-0.626,0,0,fn
s,-3.705,"[-4.76, -2.649]",1.055,-5.848,0.000,54.662,ngd,75,144606512.637,0.122,-3.000,-0.705,0,0,fn
vot,0.224,,,,,54.662,ngd,75,144606512.637,0.122,0.167,0.057,0,0,fn
tt,-0.803,"[-1.047, -0.558]",0.244,-5.475,0.000,43.637,lm,75,140144630.140,0.120,-1.000,0.197,0,0,fn
c,-4.546,"[-5.748, -3.345]",1.202,-6.303,0.000,43.637,lm,75,140144630.140,0.120,-6.000,1.454,0,0,fn
s,-2.872,"[-3.62, -2.124]",0.748,-6.396,0.000,43.637,lm,75,140144630.140,0.120,-3.000,0.128,0,0,fn
vot,0.177,,,,,43.637,lm,75,140144630.140,0.120,0.167,0.010,0,0,fn
tt,-0.944,"[-1.233, -0.655]",0.289,-5.439,0.000,97.914,ngd+lm,75,139908728.542,0.120,-1.000,0.056,0,0,fn
c,-4.881,"[-6.19, -3.572]",1.309,-6.212,0.000,97.914,ngd+lm,75,139908728.542,0.120,-6.000,1.119,0,0,fn
s,-2.938,"[-3.714, -2.163]",0.775,-6.313,0.000,97.914,ngd+lm,75,139908728.542,0.120,-3.000,0.062,0,0,fn
vot,0.193,,,,,97.914,ngd+lm,75,139908728.542,0.120,0.167,0.027,0,0,fn
