stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,8.466,2.023,0.000,76,0,9,2319978530.799,1085504248.518
refined,23.888,2.023,0.000,76,0,9,2319978530.799,551216063.534
