attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.918,"[-1.371, -0.464]",0.453,-3.378,0.001,94,0.150,217822729.684,0.145,-1.000,0.082,0,0,fn
c,-5.197,"[-7.815, -2.579]",2.618,-3.311,0.002,94,0.150,217822729.684,0.145,-6.000,0.803,0,0,fn
s,-2.592,"[-3.867, -1.316]",1.276,-3.388,0.001,94,0.150,217822729.684,0.145,-3.000,0.408,0,0,fn
k0,-0.469,"[-0.975, 0.037]",0.506,-1.545,0.127,94,0.150,217822729.684,0.145,0.000,-0.469,0,0,fp
k1,-0.016,"[-0.476, 0.444]",0.460,-0.057,0.954,94,0.150,217822729.684,0.145,0.000,-0.016,0,0,fp
k2,-0.154,"[-0.911, 0.602]",0.756,-0.341,0.734,94,0.150,217822729.684,0.145,0.000,-0.154,0,0,fp
k3,0.113,"[-0.291, 0.517]",0.404,0.467,0.642,94,0.150,217822729.684,0.145,0.000,0.113,0,0,fp
k4,0.072,"[-0.455, 0.599]",0.527,0.228,0.821,94,0.150,217822729.684,0.145,0.000,0.072,0,0,fp
k5,0.221,"[-0.422, 0.865]",0.644,0.573,0.568,94,0.150,217822729.684,0.145,0.000,0.221,0,0,fp
vot,0.177,,,,,94,0.150,217822729.684,0.145,0.167,0.010,0,0,fn
tt,-0.768,"[-1.157, -0.379]",0.389,-3.293,0.002,94,0.200,261998066.379,0.169,-1.000,0.232,0,0,fn
c,-4.608,"[-6.927, -2.288]",2.319,-3.314,0.001,94,0.200,261998066.379,0.169,-6.000,1.392,0,0,fn
s,-1.974,"[-2.988, -0.961]",1.013,-3.249,0.002,94,0.200,261998066.379,0.169,-3.000,1.026,0,0,fn
k0,-0.243,"[-0.731, 0.245]",0.488,-0.832,0.408,94,0.200,261998066.379,0.169,0.000,-0.243,0,0,fp
k1,-0.034,"[-0.489, 0.42]",0.454,-0.126,0.900,94,0.200,261998066.379,0.169,0.000,-0.034,0,0,fp
k2,-0.321,"[-1.075, 0.433]",0.754,-0.710,0.480,94,0.200,261998066.379,0.169,0.000,-0.321,0,0,fp
k3,-0.371,"[-0.75, 0.008]",0.379,-1.631,0.108,94,0.200,261998066.379,0.169,0.000,-0.371,0,0,fp
k4,-0.110,"[-0.681, 0.462]",0.572,-0.320,0.750,94,0.200,261998066.379,0.169,0.000,-0.110,0,0,fp
k5,0.089,"[-0.488, 0.665]",0.576,0.256,0.799,94,0.200,261998066.379,0.169,0.000,0.089,0,0,fp
vot,0.167,,,,,94,0.200,261998066.379,0.169,0.167,-0.000,0,0,fn
tt,-1.773,"[-4.263, 0.717]",2.490,-1.188,0.239,94,0.250,696415230.426,0.262,-1.000,-0.773,1,0,fn
c,-9.164,"[-22.188, 3.859]",13.023,-1.174,0.245,94,0.250,696415230.426,0.262,-6.000,-3.164,1,0,fn
s,-5.149,"[-12.226, 1.929]",7.077,-1.213,0.229,94,0.250,696415230.426,0.262,-3.000,-2.149,1,0,fn
k0,-0.004,"[-1.494, 1.486]",1.490,-0.004,0.997,94,0.250,696415230.426,0.262,0.000,-0.004,0,0,fp
k1,-0.734,"[-2.309, 0.842]",1.575,-0.777,0.440,94,0.250,696415230.426,0.262,0.000,-0.734,0,0,fp
k2,-0.318,"[-2.336, 1.701]",2.019,-0.263,0.794,94,0.250,696415230.426,0.262,0.000,-0.318,0,0,fp
k3,-0.742,"[-2.026, 0.541]",1.284,-0.965,0.338,94,0.250,696415230.426,0.262,0.000,-0.742,0,0,fp
k4,1.694,"[-1.06, 4.448]",2.754,1.026,0.309,94,0.250,696415230.426,0.262,0.000,1.694,0,0,fp
k5,-0.584,"[-2.234, 1.066]",1.650,-0.590,0.557,94,0.250,696415230.426,0.262,0.000,-0.584,0,0,fp
vot,0.194,,,,,94,0.250,696415230.426,0.262,0.167,0.027,0,0,fn
