stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,29.339,1.765,0.000,57,0,9,2266557565.220,348641906.753
refined,316.449,1.765,0.000,57,0,9,2266557565.220,37566761.996
