stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.711,"[-1.111, -0.311]",0.400,-2.980,0.005
norefined,c,-5.219,"[-7.755, -2.684]",2.535,-3.452,0.001
norefined,s,-2.362,"[-3.598, -1.125]",1.237,-3.203,0.002
norefined,k0,0.080,"[-0.7, 0.86]",0.780,0.172,0.864
norefined,k1,-0.732,"[-1.424, -0.04]",0.692,-1.773,0.083
norefined,k2,0.237,"[-0.531, 1.004]",0.768,0.517,0.607
norefined,k3,0.366,"[-0.53, 1.261]",0.896,0.685,0.496
norefined,k4,1.008,"[0.156, 1.86]",0.852,1.984,0.053
norefined,k5,0.801,"[-0.167, 1.769]",0.968,1.388,0.172
refined,tt,-1.263,"[-1.531, -0.995]",0.268,-7.902,0.000
refined,c,-7.548,"[-9.132, -5.963]",1.584,-7.990,0.000
refined,s,-4.046,"[-4.913, -3.179]",0.867,-7.828,0.000
refined,k0,0.026,"[-0.388, 0.44]",0.414,0.106,0.916
refined,k1,0.491,"[0.225, 0.758]",0.267,3.090,0.003
refined,k2,-0.613,"[-1.013, -0.214]",0.400,-2.575,0.013
refined,k3,-0.132,"[-0.523, 0.259]",0.391,-0.566,0.574
refined,k4,0.004,"[-0.434, 0.442]",0.438,0.016,0.988
refined,k5,0.149,"[-0.222, 0.519]",0.371,0.673,0.504
