stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,81.944,2.023,0.000,0,9,4291497124.989,357404684.777,76
refined,91.294,2.023,0.000,0,9,4291497124.989,323559407.403,76
