stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.928,"[-1.481, -0.374]",0.553,-3.347,0.001
norefined,c,-6.620,"[-10.032, -3.209]",3.411,-3.874,0.000
norefined,s,-3.274,"[-5.064, -1.483]",1.790,-3.650,0.001
norefined,k0,1.014,"[-0.09, 2.118]",1.104,1.834,0.071
norefined,k1,-0.007,"[-0.776, 0.762]",0.769,-0.019,0.985
norefined,k2,-0.454,"[-1.322, 0.414]",0.868,-1.044,0.300
norefined,k3,-0.220,"[-0.843, 0.403]",0.623,-0.706,0.483
norefined,k4,-0.675,"[-1.657, 0.306]",0.981,-1.374,0.174
norefined,k5,-0.902,"[-2.0, 0.197]",1.098,-1.639,0.106
refined,tt,-1.181,"[-1.747, -0.615]",0.566,-4.166,0.000
refined,c,-7.096,"[-10.096, -4.096]",3.000,-4.721,0.000
refined,s,-3.561,"[-5.088, -2.034]",1.527,-4.655,0.000
refined,k0,0.036,"[-0.461, 0.534]",0.498,0.145,0.885
refined,k1,-0.125,"[-0.785, 0.536]",0.661,-0.377,0.707
refined,k2,-0.408,"[-0.936, 0.121]",0.529,-1.539,0.129
refined,k3,0.221,"[-0.355, 0.797]",0.576,0.764,0.447
refined,k4,0.403,"[-0.159, 0.964]",0.561,1.432,0.157
refined,k5,0.162,"[-0.621, 0.945]",0.783,0.413,0.681
