stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,58.726,1.727,0.000,0,9,3069910219.609,345378127.451,76
refined,159.120,1.727,0.000,0,9,3069910219.609,137206879.563,76
