stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,28.443,1.727,0.000,76,0,9,2607993623.442,541002665.982
refined,51.401,1.727,0.000,76,0,9,2607993623.442,329934364.251
