stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.434,"[-2.971, 0.104]",1.537,-1.690,0.122
norefined,c,-7.452,"[-15.76, 0.857]",8.308,-1.626,0.135
norefined,s,-3.973,"[-8.098, 0.153]",4.125,-1.745,0.112
norefined,k0,-0.358,"[-3.111, 2.394]",2.753,-0.236,0.818
norefined,k1,0.648,"[-2.242, 3.539]",2.891,0.407,0.693
norefined,k2,-1.616,"[-4.129, 0.898]",2.514,-1.165,0.271
norefined,k3,-0.275,"[-3.609, 3.059]",3.334,-0.150,0.884
norefined,k4,-0.982,"[-2.592, 0.629]",1.610,-1.105,0.295
norefined,k5,0.990,"[-4.684, 6.663]",5.673,0.316,0.758
refined,tt,-0.880,"[-1.416, -0.344]",0.536,-2.976,0.014
refined,c,-6.244,"[-9.756, -2.733]",3.511,-3.223,0.009
refined,s,-3.217,"[-4.99, -1.444]",1.773,-3.289,0.008
refined,k0,-0.557,"[-1.617, 0.504]",1.061,-0.951,0.364
refined,k1,-0.862,"[-1.819, 0.095]",0.957,-1.633,0.134
refined,k2,-0.050,"[-1.152, 1.053]",1.102,-0.082,0.936
refined,k3,0.092,"[-1.383, 1.567]",1.475,0.113,0.912
refined,k4,0.061,"[-1.003, 1.125]",1.064,0.104,0.919
refined,k5,1.363,"[-0.205, 2.931]",1.568,1.576,0.146
