stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.532,"[-2.307, -0.756]",0.776,-3.313,0.002
norefined,c,-7.593,"[-11.155, -4.031]",3.562,-3.575,0.001
norefined,s,-3.613,"[-5.566, -1.661]",1.953,-3.104,0.003
norefined,k0,-0.008,"[-1.151, 1.135]",1.143,-0.012,0.990
norefined,k1,1.110,"[-0.347, 2.567]",1.457,1.278,0.208
norefined,k2,-1.716,"[-3.148, -0.283]",1.432,-2.009,0.050
norefined,k3,-0.053,"[-1.03, 0.924]",0.977,-0.092,0.927
norefined,k4,-0.891,"[-1.645, -0.137]",0.754,-1.983,0.053
norefined,k5,0.848,"[-0.66, 2.355]",1.508,0.943,0.350
refined,tt,-0.965,"[-1.224, -0.705]",0.260,-6.235,0.000
refined,c,-5.980,"[-7.463, -4.498]",1.482,-6.766,0.000
refined,s,-3.190,"[-4.083, -2.298]",0.893,-5.995,0.000
refined,k0,-0.563,"[-1.145, 0.019]",0.582,-1.622,0.111
refined,k1,0.304,"[-0.345, 0.952]",0.648,0.785,0.436
refined,k2,-0.419,"[-0.957, 0.118]",0.538,-1.309,0.197
refined,k3,-0.163,"[-0.698, 0.372]",0.535,-0.511,0.611
refined,k4,-0.115,"[-0.434, 0.204]",0.319,-0.605,0.548
refined,k5,0.356,"[-0.32, 1.032]",0.676,0.883,0.382
