stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.455,"[-2.543, -0.367]",1.088,-2.231,0.029
norefined,c,-8.124,"[-14.391, -1.857]",6.267,-2.162,0.034
norefined,s,-4.019,"[-7.321, -0.717]",3.302,-2.030,0.046
norefined,k0,-0.845,"[-2.052, 0.362]",1.207,-1.167,0.247
norefined,k1,-1.278,"[-2.53, -0.026]",1.252,-1.703,0.093
norefined,k2,0.581,"[-0.61, 1.773]",1.192,0.814,0.419
norefined,k3,0.837,"[-0.549, 2.223]",1.386,1.007,0.317
norefined,k4,0.534,"[-0.667, 1.734]",1.201,0.741,0.461
norefined,k5,0.564,"[-0.532, 1.661]",1.097,0.858,0.394
refined,tt,-1.455,"[-2.543, -0.367]",1.088,-2.231,0.029
refined,c,-8.124,"[-14.391, -1.857]",6.267,-2.162,0.034
refined,s,-4.019,"[-7.321, -0.717]",3.302,-2.030,0.046
refined,k0,-0.845,"[-2.052, 0.362]",1.207,-1.167,0.247
refined,k1,-1.278,"[-2.53, -0.026]",1.252,-1.703,0.093
refined,k2,0.581,"[-0.61, 1.773]",1.192,0.814,0.419
refined,k3,0.837,"[-0.549, 2.223]",1.386,1.007,0.317
refined,k4,0.534,"[-0.667, 1.734]",1.201,0.741,0.461
refined,k5,0.564,"[-0.532, 1.661]",1.097,0.858,0.394
