stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.451,"[-0.902, 0.001]",0.452,-1.665,0.101
norefined,c,-4.472,"[-7.917, -1.028]",3.444,-2.166,0.034
norefined,s,-1.943,"[-3.396, -0.49]",1.453,-2.231,0.029
norefined,k0,0.333,"[-0.962, 1.629]",1.296,0.429,0.669
norefined,k1,-1.101,"[-2.526, 0.324]",1.425,-1.288,0.202
norefined,k2,1.139,"[-0.569, 2.847]",1.708,1.112,0.270
norefined,k3,-0.829,"[-2.215, 0.558]",1.387,-0.997,0.322
norefined,k4,0.001,"[-1.117, 1.12]",1.119,0.002,0.998
norefined,k5,-0.554,"[-1.47, 0.363]",0.917,-1.007,0.317
refined,tt,-4.057,"[-13.282, 5.168]",9.225,-0.734,0.466
refined,c,-27.592,"[-92.955, 37.772]",65.363,-0.704,0.484
refined,s,-10.495,"[-33.676, 12.685]",23.181,-0.755,0.453
refined,k0,-1.523,"[-6.292, 3.245]",4.768,-0.533,0.596
refined,k1,2.248,"[-1.516, 6.012]",3.764,0.996,0.323
refined,k2,2.209,"[-6.151, 10.57]",8.361,0.441,0.661
refined,k3,-1.609,"[-6.924, 3.706]",5.315,-0.505,0.615
refined,k4,3.283,"[-2.599, 9.164]",5.882,0.931,0.355
refined,k5,-1.276,"[-5.248, 2.696]",3.972,-0.536,0.594
