stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.078,"[-2.007, -0.15]",0.929,-2.318,0.024
norefined,c,-6.976,"[-12.709, -1.243]",5.733,-2.429,0.018
norefined,s,-4.233,"[-7.768, -0.699]",3.535,-2.390,0.020
norefined,k0,-1.571,"[-3.782, 0.64]",2.211,-1.418,0.161
norefined,k1,1.482,"[0.043, 2.921]",1.439,2.056,0.044
norefined,k2,-1.376,"[-2.613, -0.139]",1.237,-2.221,0.030
norefined,k3,-1.139,"[-2.673, 0.396]",1.534,-1.481,0.143
norefined,k4,1.202,"[-0.562, 2.966]",1.764,1.360,0.178
norefined,k5,0.928,"[-0.697, 2.552]",1.625,1.140,0.258
refined,tt,-1.300,"[-1.733, -0.868]",0.433,-6.000,0.000
refined,c,-7.673,"[-10.226, -5.121]",2.552,-6.000,0.000
refined,s,-4.294,"[-5.867, -2.72]",1.573,-5.447,0.000
refined,k0,0.307,"[-0.24, 0.853]",0.546,1.121,0.266
refined,k1,-0.446,"[-1.075, 0.182]",0.629,-1.417,0.161
refined,k2,0.299,"[-0.22, 0.817]",0.519,1.149,0.254
refined,k3,0.464,"[-0.106, 1.035]",0.571,1.624,0.109
refined,k4,-0.308,"[-0.974, 0.358]",0.666,-0.924,0.359
refined,k5,0.250,"[-0.34, 0.841]",0.590,0.846,0.401
