stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,49.581,2.023,0.000,76,0,9,3016005948.157,393728213.843
refined,203.760,2.023,0.000,76,0,9,3016005948.157,106306719.690
