stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.439,"[-3.952, 1.074]",2.513,-1.038,0.324
norefined,c,-7.537,"[-20.158, 5.085]",12.621,-1.082,0.305
norefined,s,-3.059,"[-8.554, 2.437]",5.496,-1.009,0.337
norefined,k0,0.061,"[-2.613, 2.736]",2.675,0.042,0.968
norefined,k1,-0.652,"[-4.64, 3.335]",3.988,-0.296,0.773
norefined,k2,-0.924,"[-4.066, 2.219]",3.142,-0.533,0.606
norefined,k3,-0.477,"[-4.878, 3.924]",4.401,-0.196,0.848
norefined,k4,-1.597,"[-5.582, 2.388]",3.985,-0.726,0.484
norefined,k5,-0.974,"[-3.772, 1.824]",2.798,-0.631,0.542
refined,tt,-1.439,"[-3.952, 1.074]",2.513,-1.038,0.324
refined,c,-7.537,"[-20.158, 5.085]",12.621,-1.082,0.305
refined,s,-3.059,"[-8.554, 2.437]",5.496,-1.009,0.337
refined,k0,0.061,"[-2.613, 2.736]",2.675,0.042,0.968
refined,k1,-0.652,"[-4.64, 3.335]",3.988,-0.296,0.773
refined,k2,-0.924,"[-4.066, 2.219]",3.142,-0.533,0.606
refined,k3,-0.477,"[-4.878, 3.924]",4.401,-0.196,0.848
refined,k4,-1.597,"[-5.582, 2.388]",3.985,-0.726,0.484
refined,k5,-0.974,"[-3.772, 1.824]",2.798,-0.631,0.542
