stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.468,"[-1.053, 0.116]",0.584,-1.337,0.186
norefined,c,-5.126,"[-10.312, 0.06]",5.186,-1.649,0.104
norefined,s,-2.193,"[-4.36, -0.025]",2.168,-1.687,0.096
norefined,k0,0.735,"[-1.149, 2.62]",1.885,0.651,0.517
norefined,k1,-0.998,"[-2.686, 0.69]",1.688,-0.986,0.328
norefined,k2,-1.174,"[-3.249, 0.901]",2.075,-0.944,0.349
norefined,k3,0.762,"[-1.198, 2.721]",1.959,0.648,0.519
norefined,k4,-0.912,"[-2.456, 0.631]",1.543,-0.986,0.328
norefined,k5,-0.624,"[-1.681, 0.434]",1.058,-0.983,0.329
refined,tt,-0.759,"[-1.34, -0.178]",0.581,-2.181,0.033
refined,c,-4.839,"[-8.161, -1.516]",3.322,-2.429,0.018
refined,s,-1.797,"[-3.045, -0.55]",1.248,-2.403,0.019
refined,k0,-0.003,"[-1.33, 1.325]",1.327,-0.004,0.997
refined,k1,0.138,"[-0.663, 0.94]",0.802,0.288,0.774
refined,k2,0.035,"[-1.094, 1.164]",1.129,0.051,0.959
refined,k3,-0.024,"[-1.683, 1.635]",1.659,-0.024,0.981
refined,k4,-0.746,"[-1.87, 0.377]",1.124,-1.108,0.272
refined,k5,0.104,"[-0.708, 0.916]",0.812,0.213,0.832
