attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.830,"[-1.182, -0.479]",0.351,-3.941,0.000,4,0.200,329176574.280,0.190,-1.000,0.170,0,0,fn
c,-4.867,"[-6.55, -3.185]",1.682,-4.825,0.000,4,0.200,329176574.280,0.190,-6.000,1.133,0,0,fn
s,-2.462,"[-3.439, -1.485]",0.977,-4.204,0.000,4,0.200,329176574.280,0.190,-3.000,0.538,0,0,fn
k0,-0.378,"[-1.113, 0.357]",0.735,-0.858,0.394,4,0.200,329176574.280,0.190,0.000,-0.378,0,0,fp
k1,0.104,"[-0.332, 0.541]",0.436,0.399,0.691,4,0.200,329176574.280,0.190,0.000,0.104,0,0,fp
k2,-0.127,"[-0.845, 0.591]",0.718,-0.295,0.769,4,0.200,329176574.280,0.190,0.000,-0.127,0,0,fp
k3,-0.273,"[-1.153, 0.607]",0.880,-0.517,0.607,4,0.200,329176574.280,0.190,0.000,-0.273,0,0,fp
k4,-0.057,"[-0.618, 0.505]",0.562,-0.168,0.867,4,0.200,329176574.280,0.190,0.000,-0.057,0,0,fp
k5,-0.123,"[-0.563, 0.316]",0.439,-0.469,0.641,4,0.200,329176574.280,0.190,0.000,-0.123,0,0,fp
vot,0.171,,,,,4,0.200,329176574.280,0.190,0.167,0.004,0,0,fn
tt,-39.659,"[-2365.005, 2285.686]",2325.345,-0.028,0.977,4,0.300,767949053.774,0.288,-1.000,-38.659,1,0,fn
c,-144.423,"[-7971.82, 7682.975]",7827.398,-0.031,0.976,4,0.300,767949053.774,0.288,-6.000,-138.423,1,0,fn
s,-105.799,"[-6371.017, 6159.418]",6265.218,-0.028,0.978,4,0.300,767949053.774,0.288,-3.000,-102.799,1,0,fn
k0,-3.855,"[-694.422, 686.712]",690.567,-0.009,0.993,4,0.300,767949053.774,0.288,0.000,-3.855,0,0,fp
k1,-11.086,"[-779.808, 757.635]",768.721,-0.024,0.981,4,0.300,767949053.774,0.288,0.000,-11.086,0,0,fp
k2,39.304,"[-2504.382, 2582.99]",2543.686,0.026,0.980,4,0.300,767949053.774,0.288,0.000,39.304,0,0,fp
k3,-32.342,"[-2418.948, 2354.264]",2386.606,-0.023,0.982,4,0.300,767949053.774,0.288,0.000,-32.342,0,0,fp
k4,-3.033,"[-164.123, 158.058]",161.090,-0.031,0.975,4,0.300,767949053.774,0.288,0.000,-3.033,0,0,fp
k5,27.583,"[-1540.514, 1595.68]",1568.097,0.029,0.977,4,0.300,767949053.774,0.288,0.000,27.583,0,0,fp
vot,0.275,,,,,4,0.300,767949053.774,0.288,0.167,0.108,0,0,fn
tt,-0.759,"[-1.34, -0.178]",0.581,-2.181,0.033,4,0.400,1218583311.929,0.381,-1.000,0.241,0,0,fn
c,-4.839,"[-8.161, -1.516]",3.322,-2.429,0.018,4,0.400,1218583311.929,0.381,-6.000,1.161,0,0,fn
s,-1.797,"[-3.045, -0.55]",1.248,-2.403,0.019,4,0.400,1218583311.929,0.381,-3.000,1.203,0,0,fn
k0,-0.003,"[-1.33, 1.325]",1.327,-0.004,0.997,4,0.400,1218583311.929,0.381,0.000,-0.003,0,0,fp
k1,0.138,"[-0.663, 0.94]",0.802,0.288,0.774,4,0.400,1218583311.929,0.381,0.000,0.138,0,0,fp
k2,0.035,"[-1.094, 1.164]",1.129,0.051,0.959,4,0.400,1218583311.929,0.381,0.000,0.035,0,0,fp
k3,-0.024,"[-1.683, 1.635]",1.659,-0.024,0.981,4,0.400,1218583311.929,0.381,0.000,-0.024,0,0,fp
k4,-0.746,"[-1.87, 0.377]",1.124,-1.108,0.272,4,0.400,1218583311.929,0.381,0.000,-0.746,0,0,fp
k5,0.104,"[-0.708, 0.916]",0.812,0.213,0.832,4,0.400,1218583311.929,0.381,0.000,0.104,0,0,fp
vot,0.157,,,,,4,0.400,1218583311.929,0.381,0.167,-0.010,0,0,fn
