stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,29.436,1.727,0.000,0,9,2916170892.357,588633767.929,76
refined,54.577,1.727,0.000,0,9,2916170892.357,350026716.561,76
