stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.641,"[-5.106, 1.823]",3.465,-0.859,0.411
norefined,c,-7.462,"[-23.049, 8.126]",15.588,-0.868,0.406
norefined,s,-2.009,"[-6.347, 2.328]",4.337,-0.840,0.421
norefined,k0,-0.955,"[-5.856, 3.946]",4.901,-0.353,0.731
norefined,k1,-0.296,"[-2.684, 2.092]",2.388,-0.224,0.827
norefined,k2,0.550,"[-3.695, 4.794]",4.244,0.235,0.819
norefined,k3,0.160,"[-1.849, 2.17]",2.010,0.145,0.888
norefined,k4,1.096,"[-2.154, 4.346]",3.250,0.611,0.555
norefined,k5,0.175,"[-3.704, 4.053]",3.878,0.082,0.937
refined,tt,-0.980,"[-1.563, -0.397]",0.583,-3.045,0.012
refined,c,-5.089,"[-8.485, -1.694]",3.395,-2.717,0.022
refined,s,-3.025,"[-4.833, -1.216]",1.808,-3.032,0.013
refined,k0,0.283,"[-1.084, 1.65]",1.367,0.375,0.716
refined,k1,0.250,"[-0.602, 1.101]",0.851,0.532,0.607
refined,k2,0.557,"[-0.711, 1.824]",1.267,0.796,0.444
refined,k3,0.010,"[-0.803, 0.824]",0.813,0.023,0.982
refined,k4,-0.143,"[-1.004, 0.718]",0.861,-0.301,0.770
refined,k5,-0.537,"[-1.738, 0.664]",1.201,-0.810,0.437
