stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,40.638,1.857,0.000,0,9,1777640177.354,130596604.789,38
refined,175.307,1.857,0.000,0,9,1777640177.354,32084028.138,38
