stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.800,"[-1.415, -0.185]",0.615,-2.211,0.035
norefined,c,-7.437,"[-12.474, -2.4]",5.037,-2.509,0.018
norefined,s,-2.324,"[-4.213, -0.434]",1.889,-2.090,0.046
norefined,k0,-0.766,"[-2.278, 0.746]",1.512,-0.861,0.396
norefined,k1,-0.224,"[-1.047, 0.6]",0.823,-0.461,0.648
norefined,k2,0.421,"[-0.881, 1.724]",1.302,0.550,0.587
norefined,k3,0.570,"[-0.477, 1.618]",1.047,0.925,0.362
norefined,k4,1.085,"[-0.071, 2.241]",1.156,1.595,0.122
norefined,k5,0.521,"[-0.972, 2.014]",1.493,0.593,0.558
refined,tt,-0.965,"[-1.249, -0.682]",0.283,-5.792,0.000
refined,c,-6.109,"[-7.846, -4.373]",1.736,-5.978,0.000
refined,s,-2.962,"[-3.971, -1.954]",1.008,-4.992,0.000
refined,k0,-0.387,"[-1.013, 0.238]",0.625,-1.052,0.302
refined,k1,0.446,"[-0.013, 0.904]",0.459,1.652,0.109
refined,k2,0.154,"[-0.614, 0.923]",0.769,0.341,0.736
refined,k3,0.532,"[0.079, 0.986]",0.454,1.994,0.056
refined,k4,-0.153,"[-0.649, 0.343]",0.496,-0.525,0.604
refined,k5,-0.229,"[-0.854, 0.396]",0.625,-0.623,0.538
