stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.341,"[-1.977, -0.705]",0.636,-4.207,0.000
norefined,c,-6.560,"[-9.682, -3.438]",3.122,-4.194,0.000
norefined,s,-3.351,"[-5.017, -1.685]",1.666,-4.014,0.000
norefined,k0,-0.412,"[-1.166, 0.342]",0.754,-1.090,0.279
norefined,k1,0.137,"[-0.946, 1.219]",1.082,0.252,0.802
norefined,k2,0.701,"[-0.213, 1.615]",0.914,1.530,0.131
norefined,k3,-0.528,"[-1.041, -0.015]",0.513,-2.055,0.044
norefined,k4,0.627,"[-0.062, 1.317]",0.689,1.817,0.074
norefined,k5,-0.621,"[-1.499, 0.257]",0.878,-1.411,0.163
refined,tt,-0.769,"[-1.003, -0.535]",0.234,-6.556,0.000
refined,c,-4.620,"[-5.973, -3.268]",1.352,-6.821,0.000
refined,s,-2.539,"[-3.308, -1.77]",0.769,-6.593,0.000
refined,k0,0.248,"[-0.117, 0.612]",0.365,1.355,0.180
refined,k1,0.208,"[-0.348, 0.765]",0.556,0.747,0.457
refined,k2,-0.220,"[-0.721, 0.28]",0.500,-0.878,0.383
refined,k3,-0.088,"[-0.375, 0.198]",0.286,-0.616,0.540
refined,k4,0.222,"[-0.107, 0.552]",0.330,1.346,0.183
refined,k5,-0.073,"[-0.461, 0.315]",0.388,-0.376,0.708
