stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.570,"[-3.123, -0.017]",1.553,-2.017,0.048
norefined,c,-7.443,"[-14.973, 0.087]",7.530,-1.973,0.053
norefined,s,-3.012,"[-6.437, 0.413]",3.425,-1.755,0.084
norefined,k0,0.370,"[-1.172, 1.911]",1.542,0.478,0.634
norefined,k1,-0.102,"[-1.491, 1.287]",1.389,-0.147,0.884
norefined,k2,1.174,"[-0.687, 3.034]",1.860,1.259,0.212
norefined,k3,-1.028,"[-2.237, 0.181]",1.209,-1.697,0.094
norefined,k4,-1.407,"[-3.643, 0.829]",2.236,-1.256,0.213
norefined,k5,-0.438,"[-1.745, 0.869]",1.307,-0.669,0.506
refined,tt,-2.091,"[-4.069, -0.114]",1.978,-2.111,0.039
refined,c,-8.508,"[-17.012, -0.004]",8.504,-1.997,0.050
refined,s,-5.147,"[-11.133, 0.838]",5.986,-1.716,0.091
refined,k0,-0.717,"[-2.262, 0.827]",1.545,-0.927,0.357
refined,k1,-1.081,"[-2.957, 0.795]",1.876,-1.150,0.254
refined,k2,-0.369,"[-1.941, 1.203]",1.572,-0.468,0.641
refined,k3,-0.745,"[-1.834, 0.345]",1.090,-1.365,0.177
refined,k4,-0.330,"[-1.577, 0.916]",1.246,-0.529,0.599
refined,k5,-0.711,"[-2.054, 0.632]",1.343,-1.057,0.294
