stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.879,-5.998,-1.677,1.086,-0.682,0.261,-1.935,0.748,-0.104,2858501243.758,-0.147
norefined,2,0.419,-6.066,-1.751,1.047,-0.624,0.254,-1.901,0.663,-0.225,2265821268.986,-0.069
norefined,3,-0.061,-6.082,-1.819,1.001,-0.577,0.219,-1.900,0.596,-0.298,915197086.603,0.010
norefined,4,-0.548,-6.076,-1.851,0.948,-0.550,0.197,-1.919,0.539,-0.358,309914794.538,0.090
norefined,5,-1.001,-6.081,-1.861,0.919,-0.428,0.259,-1.824,0.431,-0.425,124269738.943,0.165
norefined,6,-1.416,-6.073,-1.829,0.936,-0.261,0.367,-1.666,0.326,-0.457,73385295.942,0.233
norefined,7,-1.040,-6.200,-1.865,0.918,-0.080,0.443,-1.506,0.163,-0.466,54102851.653,0.168
norefined,8,-1.475,-6.142,-1.926,0.904,0.089,0.502,-1.398,0.068,-0.488,59263064.411,0.240
norefined,9,-0.998,-6.222,-2.027,0.870,0.079,0.460,-1.414,0.020,-0.494,45295616.740,0.160
norefined,10,-1.463,-6.148,-2.077,0.858,0.198,0.513,-1.337,-0.031,-0.502,54588417.843,0.238
refined,11,-0.998,-6.222,-2.027,0.870,0.079,0.460,-1.414,0.020,-0.494,45295616.740,0.160
refined,12,-1.625,-9.557,-4.300,-1.292,0.625,1.318,-1.077,1.097,-0.311,18243603.892,0.170
refined,13,-0.214,-1.391,-1.158,-0.686,0.850,1.247,-0.711,-0.597,1.444,564121389.220,0.154
refined,14,-0.165,-1.825,-1.189,-0.424,0.127,0.503,0.061,-0.211,-0.014,81953601.369,0.091
refined,15,-0.432,-3.443,-1.979,-0.515,0.276,0.553,-0.060,-0.356,0.222,29352467.368,0.125
refined,16,-0.964,-6.546,-3.476,-1.173,0.766,1.036,-0.532,-0.035,0.606,10621496.096,0.147
refined,17,-1.213,-7.727,-3.868,-1.438,1.275,1.429,-1.057,0.379,0.653,6226296.086,0.157
refined,18,-1.343,-8.422,-4.081,-1.617,1.457,1.478,-1.203,0.565,0.753,5834376.717,0.159
refined,19,-1.466,-9.099,-4.300,-1.806,1.651,1.479,-1.348,0.714,0.810,5667064.662,0.161
refined,20,-1.618,-9.931,-4.571,-2.035,1.882,1.470,-1.519,0.889,0.861,5491302.675,0.163
