stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,20.190,2.347,0.000,19,0,9,868345872.962,45295616.739
refined,174.590,2.347,0.000,19,0,9,868345872.962,5491302.675
